,Downtimeccategory,Date,Downtime Duration,Planned Operating Time (min)
66,Short Staff,2023-10-13 0:00,60,600
67,Feed roll Tripped,2023-10-13 0:00,4,600
68,Mag 1 Jam,2023-10-13 0:00,40,600
69,Mag 1 Electric,2023-10-13 0:00,9,600
70,Mag 3 Jam,2023-10-13 0:00,30,600
71,Actual Tonnage Produced during shift (tons),2023-10-13 0:00,280.2,600
72,/Planned Operating Time (min),2023-10-16 0:00,600,600
73,Coffee Break #1 ,2023-10-16 0:00,15,600
74,Coffee Break #2 ,2023-10-16 0:00,15,600
75,Lunch Break ,2023-10-16 0:00,30,600
76,Pre-shift Inspection,2023-10-16 0:00,2,600
77,5S / Routine Cleaning,2023-10-16 0:00,6,600
78,Startup,2023-10-16 0:00,5,600
79,Morning Meeting,2023-10-16 0:00,8,600
80,Fires,2023-10-16 0:00,10,600
81,Short Staff,2023-10-16 0:00,80,600
82,Shaker Jam,2023-10-16 0:00,43,600
83,Mag 1 Jam,2023-10-16 0:00,93,600
84,Mag 1 Electric,2023-10-16 0:00,9,600
85,Mag 2 Jam,2023-10-16 0:00,69,600
86,NFC 1 Jam,2023-10-16 0:00,123,600
87,Actual Tonnage Produced during shift (tons),2023-10-16 0:00,117.3,600
88,/Planned Operating Time (min),2023-10-17 0:00,600,600
89,Coffee Break #1 ,2023-10-17 0:00,15,600
90,Coffee Break #2 ,2023-10-17 0:00,15,600
91,Lunch Break ,2023-10-17 0:00,30,600
92,Pre-shift Inspection,2023-10-17 0:00,10,600
93,5S / Routine Cleaning,2023-10-17 0:00,20,600
94,Startup,2023-10-17 0:00,8,600
95,Morning Meeting,2023-10-17 0:00,40,600
96,Mag 1 Jam,2023-10-17 0:00,18,600
97,Mag 1 Electric,2023-10-17 0:00,33,600
98,Mag 2 Jam,2023-10-17 0:00,10,600
99,Mag 2 Electric,2023-10-17 0:00,6,600
100,Mag 3 Jam,2023-10-17 0:00,26,600
101,Actual Tonnage Produced during shift (tons),2023-10-17 0:00,304.29,600
102,/Planned Operating Time (min),2023-10-18 0:00,600,600
103,Coffee Break #1 ,2023-10-18 0:00,15,600
104,Coffee Break #2 ,2023-10-18 0:00,15,600
105,Lunch Break ,2023-10-18 0:00,30,600
106,Pre-shift Inspection,2023-10-18 0:00,10,600
107,5S / Routine Cleaning,2023-10-18 0:00,20,600
108,Startup,2023-10-18 0:00,7,600
109,Morning Meeting,2023-10-18 0:00,15,600
110,Short Staff,2023-10-18 0:00,120,600
111,Mag 1 Electric,2023-10-18 0:00,121,600
112,Mag 2 Jam,2023-10-18 0:00,44,600
113,Mag 3 Jam,2023-10-18 0:00,19,600
114,Mag 3 Electric,2023-10-18 0:00,3,600
115,NFC 1 Jam,2023-10-18 0:00,46,600
116,Actual Tonnage Produced during shift (tons),2023-10-18 0:00,105.88,600
117,/Planned Operating Time (min),2023-10-19 0:00,600,600
118,Coffee Break #1 ,2023-10-19 0:00,15,600
119,Coffee Break #2 ,2023-10-19 0:00,15,600
120,Lunch Break ,2023-10-19 0:00,30,600
121,Pre-shift Inspection,2023-10-19 0:00,10,600
122,5S / Routine Cleaning,2023-10-19 0:00,30,600
123,Startup,2023-10-19 0:00,5,600
124,Morning Meeting,2023-10-19 0:00,20,600
125,Mag 1 Jam,2023-10-19 0:00,47,600
126,Mag 2 Electric,2023-10-19 0:00,7,600
127,Mag 3 Jam,2023-10-19 0:00,69,600
128,Mag 3 Electric,2023-10-19 0:00,8,600
129,ECS 1 Jam ,2023-10-19 0:00,82,600
130,Actual Tonnage Produced during shift (tons),2023-10-19 0:00,173.57,600
131,/Planned Operating Time (min),2023-10-20 0:00,600,600
132,Coffee Break #1 ,2023-10-20 0:00,15,600
133,Coffee Break #2 ,2023-10-20 0:00,15,600
134,Lunch Break ,2023-10-20 0:00,30,600
135,Pre-shift Inspection,2023-10-20 0:00,22,600
136,5S / Routine Cleaning,2023-10-20 0:00,30,600
137,Startup,2023-10-20 0:00,10,600
138,Morning Meeting,2023-10-20 0:00,20,600
139,Delay of planned maintenance,2023-10-20 0:00,45,600
140,Mag 1 Jam,2023-10-20 0:00,68,600
141,Electrical Misc,2023-10-20 0:00,82,600
142,Actual Tonnage Produced during shift (tons),2023-10-20 0:00,198.2,600
143,/Planned Operating Time (min),2023-10-23 0:00,600,600
144,Coffee Break #1 ,2023-10-23 0:00,15,600
145,Coffee Break #2 ,2023-10-23 0:00,15,600
146,Lunch Break ,2023-10-23 0:00,30,600
147,5S / Routine Cleaning,2023-10-23 0:00,30,600
148,Morning Meeting,2023-10-23 0:00,25,600
149,Mag 1 Jam,2023-10-23 0:00,485,600
150,/Planned Operating Time (min),2023-10-24 0:00,600,600
151,Coffee Break #1 ,2023-10-24 0:00,15,600
152,Coffee Break #2 ,2023-10-24 0:00,15,600
153,Lunch Break ,2023-10-24 0:00,30,600
154,Pre-shift Inspection,2023-10-24 0:00,8,600
155,5S / Routine Cleaning,2023-10-24 0:00,25,600
156,Startup,2023-10-24 0:00,7,600
157,Morning Meeting,2023-10-24 0:00,25,600
158,Transfer Belt,2023-10-24 0:00,40,600
159,Mag 1 Jam,2023-10-24 0:00,285,600
160,Mag 1 Electric,2023-10-24 0:00,3,600
161,Mag 2 Jam,2023-10-24 0:00,16,600
162,Mag 3 Belt,2023-10-24 0:00,15,600
163,Actual Tonnage Produced during shift (tons),2023-10-24 0:00,96.76,600
164,/Planned Operating Time (min),2023-10-25 0:00,660,660
165,Coffee Break #1 ,2023-10-25 0:00,15,660
166,Coffee Break #2 ,2023-10-25 0:00,15,660
167,Lunch Break ,2023-10-25 0:00,30,660
168,Pre-shift Inspection,2023-10-25 0:00,25,660
169,Startup,2023-10-25 0:00,9,660
170,Fires,2023-10-25 0:00,3,660
171,Feed roll Tripped,2023-10-25 0:00,10,660
172,Transfer Belt,2023-10-25 0:00,10,660
173,Mag 1 Jam,2023-10-25 0:00,85,660
174,Mag 2 Electric,2023-10-25 0:00,10,660
175,Dirt 1 Jam,2023-10-25 0:00,15,660
176,Primary Tail,2023-10-25 0:00,84,660
177,NFC 1 Jam,2023-10-25 0:00,30,660
178,Actual Tonnage Produced during shift (tons),2023-10-25 0:00,278.21,660
179,/Planned Operating Time (min),2023-10-26 0:00,720,720
180,Coffee Break #1 ,2023-10-26 0:00,15,720
181,Coffee Break #2 ,2023-10-26 0:00,15,720
182,Lunch Break ,2023-10-26 0:00,30,720
183,Pre-shift Inspection,2023-10-26 0:00,10,720
184,Startup,2023-10-26 0:00,10,720
185,Fires,2023-10-26 0:00,5,720
186,Short Staff,2023-10-26 0:00,60,720
187,Infeed Hydraulics,2023-10-26 0:00,11,720
188,Feed roll Tripped,2023-10-26 0:00,202,720
189,Mag 1 Jam,2023-10-26 0:00,40,720
190,Mag 1 Electric,2023-10-26 0:00,6,720
191,Mag 2 Jam,2023-10-26 0:00,75,720
192,Mag 2 Electric,2023-10-26 0:00,24,720
193,Mag 3 Electric,2023-10-26 0:00,5,720
194,Actual Tonnage Produced during shift (tons),2023-10-26 0:00,188.17,720
195,/Planned Operating Time (min),2023-10-27 0:00,600,600
196,Coffee Break #1 ,2023-10-27 0:00,15,600
197,Coffee Break #2 ,2023-10-27 0:00,15,600
198,Lunch Break ,2023-10-27 0:00,30,600
199,Pre-shift Inspection,2023-10-27 0:00,10,600
200,5S / Routine Cleaning,2023-10-27 0:00,30,600
201,Startup,2023-10-27 0:00,9,600
202,Morning Meeting,2023-10-27 0:00,5,600
203,Mag 1 Jam,2023-10-27 0:00,34,600
204,Mag 2 Jam,2023-10-27 0:00,20,600
205,Mag 2 Electric,2023-10-27 0:00,11,600
206,Mag 3 Electric,2023-10-27 0:00,7,600
207,Actual Tonnage Produced during shift (tons),2023-10-27 0:00,376.74,600
208,/Planned Operating Time (min),2023-10-28 0:00,480,480
209,Coffee Break #1 ,2023-10-28 0:00,15,480
210,Coffee Break #2 ,2023-10-28 0:00,15,480
211,Lunch Break ,2023-10-28 0:00,30,480
212,Pre-shift Inspection,2023-10-28 0:00,14,480
213,5S / Routine Cleaning,2023-10-28 0:00,30,480
214,Startup,2023-10-28 0:00,14,480
215,Morning Meeting,2023-10-28 0:00,10,480
216,Short Staff,2023-10-28 0:00,20,480
217,Mag 1 Jam,2023-10-28 0:00,17,480
218,Mag 1 Electric,2023-10-28 0:00,8,480
219,Mag 2 Jam,2023-10-28 0:00,10,480
220,Mag 2 Electric,2023-10-28 0:00,5,480
221,Mag 3 Electric,2023-10-28 0:00,5,480
222,Dirt 1 Jam,2023-10-28 0:00,53,480
223,NFC 1 Jam,2023-10-28 0:00,52,480
224,Actual Tonnage Produced during shift (tons),2023-10-28 0:00,148.66,480
225,/Planned Operating Time (min),2023-10-30 0:00,600,600
226,Coffee Break #1 ,2023-10-30 0:00,15,600
227,Coffee Break #2 ,2023-10-30 0:00,15,600
228,Lunch Break ,2023-10-30 0:00,30,600
229,Pre-shift Inspection,2023-10-30 0:00,20,600
230,5S / Routine Cleaning,2023-10-30 0:00,20,600
231,Startup,2023-10-30 0:00,15,600
232,Mag 1 Electric,2023-10-30 0:00,12,600
233,Mag 2 Jam,2023-10-30 0:00,25,600
234,Mag 2 Electric,2023-10-30 0:00,5,600
235,Mag 3 Electric,2023-10-30 0:00,3,600
236,Actual Tonnage Produced during shift (tons),2023-10-30 0:00,405.97,600
237,/Planned Operating Time (min),2023-10-31 0:00,600,600
238,Coffee Break #1 ,2023-10-31 0:00,15,600
239,Coffee Break #2 ,2023-10-31 0:00,15,600
240,Lunch Break ,2023-10-31 0:00,30,600
241,Pre-shift Inspection,2023-10-31 0:00,5,600
242,5S / Routine Cleaning,2023-10-31 0:00,30,600
243,Safety Training,2023-10-31 0:00,135,600
244,Startup,2023-10-31 0:00,6,600
245,Morning Meeting,2023-10-31 0:00,20,600
246,Mag 1 Jam,2023-10-31 0:00,60,600
247,Mag 1 Electric,2023-10-31 0:00,26,600
248,Mag 2 Jam,2023-10-31 0:00,11,600
249,Mag 2 Electric,2023-10-31 0:00,5,600
250,Actual Tonnage Produced during shift (tons),2023-10-31 0:00,185,600
251,/Planned Operating Time (min),2023-09-05 0:00,600,600
252,Coffee Break #1 ,2023-09-05 0:00,15,600
253,Coffee Break #2 ,2023-09-05 0:00,15,600
254,Lunch Break ,2023-09-05 0:00,30,600
255,Pre-shift Inspection,2023-09-05 0:00,15,600
256,5S / Routine Cleaning,2023-09-05 0:00,30,600
257,Safety Training,2023-09-05 0:00,15,600
258,Startup,2023-09-05 0:00,10,600
259,Mag 1 Jam,2023-09-05 0:00,30,600
260,Mag 1 Belt,2023-09-05 0:00,3,600
261,Mag 1 Electric,2023-09-05 0:00,21,600
262,Mag 2 Jam,2023-09-05 0:00,6,600
263,Mag 2 Belt,2023-09-05 0:00,3,600
264,Mag 3 Belt,2023-09-05 0:00,4,600
265,Dirt 1 Jam,2023-09-05 0:00,40,600
266,East Conveyor,2023-09-05 0:00,40,600
267,Actual Tonnage Produced during shift (tons),2023-09-05 0:00,285.14,600
268,/Planned Operating Time (min),2023-09-06 0:00,600,600
269,Coffee Break #1 ,2023-09-06 0:00,15,600
270,Coffee Break #2 ,2023-09-06 0:00,15,600
271,Lunch Break ,2023-09-06 0:00,30,600
272,Pre-shift Inspection,2023-09-06 0:00,8,600
273,5S / Routine Cleaning,2023-09-06 0:00,30,600
274,Safety Training,2023-09-06 0:00,15,600
275,Startup,2023-09-06 0:00,7,600
276,Feed roll Belt,2023-09-06 0:00,27,600
277,Mag 1 Jam,2023-09-06 0:00,24,600
278,Mag 1 Electric,2023-09-06 0:00,31,600
279,Mag 2 Jam,2023-09-06 0:00,48,600
280,Mag 3 Jam,2023-09-06 0:00,10,600
281,Stacker Belt Jam,2023-09-06 0:00,15,600
282,Actual Tonnage Produced during shift (tons),2023-09-06 0:00,203.43,600
283,/Planned Operating Time (min),2023-09-07 0:00,600,600
284,Coffee Break #1 ,2023-09-07 0:00,15,600
285,Coffee Break #2 ,2023-09-07 0:00,15,600
286,Lunch Break ,2023-09-07 0:00,30,600
287,Pre-shift Inspection,2023-09-07 0:00,8,600
288,5S / Routine Cleaning,2023-09-07 0:00,30,600
289,Safety Training,2023-09-07 0:00,150,600
290,Startup,2023-09-07 0:00,7,600
291,Infeed Jam,2023-09-07 0:00,60,600
292,Feed roll Tripped,2023-09-07 0:00,5,600
293,Mag 1 Jam,2023-09-07 0:00,42,600
294,Mag 2 Jam,2023-09-07 0:00,11,600
295,Mag 3 Jam,2023-09-07 0:00,6,600
296,Actual Tonnage Produced during shift (tons),2023-09-07 0:00,153.74,600
297,/Planned Operating Time (min),2023-09-08 0:00,600,600
298,Coffee Break #1 ,2023-09-08 0:00,15,600
299,Coffee Break #2 ,2023-09-08 0:00,15,600
300,Lunch Break ,2023-09-08 0:00,30,600
301,Pre-shift Inspection,2023-09-08 0:00,10,600
302,5S / Routine Cleaning,2023-09-08 0:00,10,600
303,Safety Training,2023-09-08 0:00,15,600
304,Startup,2023-09-08 0:00,10,600
305,Short Staff,2023-09-08 0:00,55,600
306,Feed roll Tripped,2023-09-08 0:00,31,600
307,Mag 1 Jam,2023-09-08 0:00,71,600
308,Mag 2 Jam,2023-09-08 0:00,31,600
309,Mag 3 Jam,2023-09-08 0:00,9,600
310,Actual Tonnage Produced during shift (tons),2023-09-08 0:00,173.64,600
311,/Planned Operating Time (min),2023-09-11 0:00,600,600
312,Coffee Break #1 ,2023-09-11 0:00,15,600
313,Coffee Break #2 ,2023-09-11 0:00,15,600
314,Lunch Break ,2023-09-11 0:00,30,600
315,Pre-shift Inspection,2023-09-11 0:00,5,600
316,5S / Routine Cleaning,2023-09-11 0:00,30,600
317,Startup,2023-09-11 0:00,5,600
318,Waiting on Excavator,2023-09-11 0:00,10,600
319,Feed roll Tripped,2023-09-11 0:00,15,600
320,Mag 1 Jam,2023-09-11 0:00,70,600
321,Mag 3 Jam,2023-09-11 0:00,18,600
322,West Conveyor,2023-09-11 0:00,7,600
323,Actual Tonnage Produced during shift (tons),2023-09-11 0:00,252.17,600
324,/Planned Operating Time (min),2023-09-12 0:00,600,600
325,Coffee Break #1 ,2023-09-12 0:00,15,600
326,Coffee Break #2 ,2023-09-12 0:00,15,600
327,Lunch Break ,2023-09-12 0:00,30,600
328,Pre-shift Inspection,2023-09-12 0:00,6,600
329,5S / Routine Cleaning,2023-09-12 0:00,30,600
330,Safety Training,2023-09-12 0:00,260,600
331,Startup,2023-09-12 0:00,6,600
332,Mag 1 Jam,2023-09-12 0:00,10,600
333,Mag 1 Electric,2023-09-12 0:00,4,600
334,Mag 2 Jam,2023-09-12 0:00,10,600
335,Mag 2 Electric,2023-09-12 0:00,10,600
336,Mag 3 Jam,2023-09-12 0:00,4,600
337,Actual Tonnage Produced during shift (tons),2023-09-12 0:00,132.29,600
338,/Planned Operating Time (min),2023-09-13 0:00,600,600
339,Coffee Break #1 ,2023-09-13 0:00,15,600
340,Coffee Break #2 ,2023-09-13 0:00,15,600
341,Lunch Break ,2023-09-13 0:00,30,600
342,Pre-shift Inspection,2023-09-13 0:00,7,600
343,5S / Routine Cleaning,2023-09-13 0:00,15,600
344,Safety Training,2023-09-13 0:00,60,600
345,Startup,2023-09-13 0:00,8,600
346,Delay of planned maintenance,2023-09-13 0:00,55,600
347,Feed roll Tripped,2023-09-13 0:00,15,600
348,Mag 1 Jam,2023-09-13 0:00,52,600
349,Mag 2 Jam,2023-09-13 0:00,12,600
350,Mag 3 Jam,2023-09-13 0:00,32,600
351,Actual Tonnage Produced during shift (tons),2023-09-13 0:00,196.06,600
352,/Planned Operating Time (min),2023-09-14 0:00,600,600
353,Coffee Break #1 ,2023-09-14 0:00,15,600
354,Coffee Break #2 ,2023-09-14 0:00,15,600
355,Lunch Break ,2023-09-14 0:00,30,600
356,Pre-shift Inspection,2023-09-14 0:00,26,600
357,5S / Routine Cleaning,2023-09-14 0:00,25,600
358,Safety Training,2023-09-14 0:00,20,600
359,Startup,2023-09-14 0:00,7,600
360,Infeed Jam,2023-09-14 0:00,79,600
361,Feed roll Tripped,2023-09-14 0:00,5,600
362,Mag 1 Jam,2023-09-14 0:00,30,600
363,Mag 2 Jam,2023-09-14 0:00,7,600
364,Mag 3 Jam,2023-09-14 0:00,11,600
365,Actual Tonnage Produced during shift (tons),2023-09-14 0:00,231.27,600
366,/Planned Operating Time (min),2023-09-15 0:00,600,600
367,Coffee Break #1 ,2023-09-15 0:00,15,600
368,Coffee Break #2 ,2023-09-15 0:00,15,600
369,Lunch Break ,2023-09-15 0:00,30,600
370,Pre-shift Inspection,2023-09-15 0:00,20,600
371,5S / Routine Cleaning,2023-09-15 0:00,30,600
372,Safety Training,2023-09-15 0:00,15,600
373,Startup,2023-09-15 0:00,10,600
374,Fires,2023-09-15 0:00,1,600
375,Mag 1 Jam,2023-09-15 0:00,96,600
376,Mag 1 Electric,2023-09-15 0:00,2,600
377,Mag 2 Jam,2023-09-15 0:00,13,600
378,Mag 3 Jam,2023-09-15 0:00,10,600
379,Mag 3 Electric,2023-09-15 0:00,38,600
380,Actual Tonnage Produced during shift (tons),2023-09-15 0:00,225.87,600
381,/Planned Operating Time (min),2023-09-18 0:00,600,600
382,Coffee Break #1 ,2023-09-18 0:00,15,600
383,Coffee Break #2 ,2023-09-18 0:00,15,600
384,Lunch Break ,2023-09-18 0:00,30,600
385,Pre-shift Inspection,2023-09-18 0:00,20,600
386,5S / Routine Cleaning,2023-09-18 0:00,15,600
387,Safety Training,2023-09-18 0:00,90,600
388,Startup,2023-09-18 0:00,8,600
389,Feed roll Tripped,2023-09-18 0:00,26,600
390,Z Box Jam,2023-09-18 0:00,6,600
391,Mag 1 Jam,2023-09-18 0:00,91,600
392,Mag 1 Electric,2023-09-18 0:00,6,600
393,Mag 3 Jam,2023-09-18 0:00,4,600
394,West Conveyor,2023-09-18 0:00,15,600
395,Actual Tonnage Produced during shift (tons),2023-09-18 0:00,168.57,600
396,/Planned Operating Time (min),2023-09-19 0:00,600,600
397,Coffee Break #1 ,2023-09-19 0:00,15,600
398,Coffee Break #2 ,2023-09-19 0:00,15,600
399,Lunch Break ,2023-09-19 0:00,30,600
400,Pre-shift Inspection,2023-09-19 0:00,8,600
401,5S / Routine Cleaning,2023-09-19 0:00,30,600
402,Safety Training,2023-09-19 0:00,15,600
403,Startup,2023-09-19 0:00,8,600
404,Un-Controlled Power Failure *1,2023-09-19 0:00,14,600
405,Explosion,2023-09-19 0:00,80,600
406,Mag 1 Jam,2023-09-19 0:00,132,600
407,Mag 1 Electric,2023-09-19 0:00,3,600
408,Mag 3 Jam,2023-09-19 0:00,13,600
409,Dirt 1 Jam,2023-09-19 0:00,20,600
410,Stacker Belt Jam,2023-09-19 0:00,13,600
411,Actual Tonnage Produced during shift (tons),2023-09-19 0:00,144.6,600
412,/Planned Operating Time (min),2023-09-20 0:00,600,600
413,Coffee Break #1 ,2023-09-20 0:00,15,600
414,Coffee Break #2 ,2023-09-20 0:00,15,600
415,Lunch Break ,2023-09-20 0:00,30,600
416,5S / Routine Cleaning,2023-09-20 0:00,30,600
417,Startup,2023-09-20 0:00,15,600
418,Feed roll Tripped,2023-09-20 0:00,218,600
419,Mag 1 Jam,2023-09-20 0:00,43,600
420,Mag 2 Jam,2023-09-20 0:00,3,600
421,Mag 3 Jam,2023-09-20 0:00,16,600
422,NFC 1 Jam,2023-09-20 0:00,13,600
423,Actual Tonnage Produced during shift (tons),2023-09-20 0:00,185.1,600
424,/Planned Operating Time (min),2023-09-21 0:00,600,600
425,Coffee Break #1 ,2023-09-21 0:00,15,600
426,Coffee Break #2 ,2023-09-21 0:00,15,600
427,Lunch Break ,2023-09-21 0:00,30,600
428,5S / Routine Cleaning,2023-09-21 0:00,30,600
429,Startup,2023-09-21 0:00,16,600
430,Other 1 ,2023-09-21 0:00,20,600
431,Safety Updates,2023-09-21 0:00,65,600
432,Mag 1 Jam,2023-09-21 0:00,139,600
433,Mag 2 Jam,2023-09-21 0:00,9,600
434,Mag 3 Jam,2023-09-21 0:00,29,600
435,Actual Tonnage Produced during shift (tons),2023-09-21 0:00,145.8,600
436,/Planned Operating Time (min),2023-09-22 0:00,600,600
437,Coffee Break #1 ,2023-09-22 0:00,15,600
438,Coffee Break #2 ,2023-09-22 0:00,15,600
439,Lunch Break ,2023-09-22 0:00,30,600
440,5S / Routine Cleaning,2023-09-22 0:00,30,600
441,Startup,2023-09-22 0:00,27,600
442,Morning Meeting,2023-09-22 0:00,30,600
443,Short Staff,2023-09-22 0:00,30,600
444,Safety Updates,2023-09-22 0:00,60,600
445,Mag 1 Jam,2023-09-22 0:00,23,600
446,Mag 2 Jam,2023-09-22 0:00,3,600
447,Mag 3 Jam,2023-09-22 0:00,12,600
448,NFC 1 Jam,2023-09-22 0:00,13,600
449,Actual Tonnage Produced during shift (tons),2023-09-22 0:00,179,600
450,/Planned Operating Time (min),2023-09-23 0:00,480,480
451,Coffee Break #1 ,2023-09-23 0:00,15,480
452,Lunch Break ,2023-09-23 0:00,30,480
453,5S / Routine Cleaning,2023-09-23 0:00,30,480
454,Startup,2023-09-23 0:00,15,480
455,Morning Meeting,2023-09-23 0:00,5,480
456,Hazard analysis/Safety intiative,2023-09-23 0:00,90,480
457,Mag 1 Jam,2023-09-23 0:00,30,480
458,Mag 2 Jam,2023-09-23 0:00,4,480
459,Mag 3 Jam,2023-09-23 0:00,34,480
460,Actual Tonnage Produced during shift (tons),2023-09-23 0:00,195.4,480
461,/Planned Operating Time (min),2023-09-25 0:00,600,600
462,Coffee Break #1 ,2023-09-25 0:00,15,600
463,Coffee Break #2 ,2023-09-25 0:00,15,600
464,Lunch Break ,2023-09-25 0:00,30,600
465,Pre-shift Inspection,2023-09-25 0:00,8,600
466,5S / Routine Cleaning,2023-09-25 0:00,15,600
467,Safety Training,2023-09-25 0:00,55,600
468,Startup,2023-09-25 0:00,7,600
469,Feed roll Jam,2023-09-25 0:00,45,600
470,Feed roll Tripped,2023-09-25 0:00,10,600
471,Mag 1 Jam,2023-09-25 0:00,73,600
472,Mag 1 Electric,2023-09-25 0:00,32,600
473,Mag 3 Jam,2023-09-25 0:00,18,600
474,Actual Tonnage Produced during shift (tons),2023-09-25 0:00,167.44,600
475,/Planned Operating Time (min),2023-09-26 0:00,600,600
476,Coffee Break #1 ,2023-09-26 0:00,15,600
477,Coffee Break #2 ,2023-09-26 0:00,15,600
478,Lunch Break ,2023-09-26 0:00,30,600
479,Pre-shift Inspection,2023-09-26 0:00,20,600
480,5S / Routine Cleaning,2023-09-26 0:00,30,600
481,Safety Training,2023-09-26 0:00,20,600
482,Startup,2023-09-26 0:00,5,600
483,Delay of planned maintenance,2023-09-26 0:00,10,600
484,Feed roll Tripped,2023-09-26 0:00,7,600
485,DC Cooldown,2023-09-26 0:00,177,600
486,Shaker Jam,2023-09-26 0:00,8,600
487,Mag 1 Jam,2023-09-26 0:00,12,600
488,Mag 1 Electric,2023-09-26 0:00,15,600
489,Mag 2 Jam,2023-09-26 0:00,5,600
490,NFC 1 Jam,2023-09-26 0:00,7,600
491,Actual Tonnage Produced during shift (tons),2023-09-26 0:00,186.66,600
492,/Planned Operating Time (min),2023-09-27 0:00,600,600
493,Coffee Break #1 ,2023-09-27 0:00,15,600
494,Coffee Break #2 ,2023-09-27 0:00,15,600
495,Lunch Break ,2023-09-27 0:00,30,600
496,Safety Training,2023-09-27 0:00,120,600
497,Morning Meeting,2023-09-27 0:00,15,600
498,Safety Updates,2023-09-27 0:00,165,600
499,DC Cooldown,2023-09-27 0:00,240,600
500,/Planned Operating Time (min),2023-09-28 0:00,600,600
501,Coffee Break #1 ,2023-09-28 0:00,15,600
502,Coffee Break #2 ,2023-09-28 0:00,15,600
503,Lunch Break ,2023-09-28 0:00,30,600
504,Morning Meeting,2023-09-28 0:00,15,600
505,Safety Updates,2023-09-28 0:00,525,600
506,/Planned Operating Time (min),2023-09-29 0:00,600,600
507,Coffee Break #1 ,2023-09-29 0:00,15,600
508,Coffee Break #2 ,2023-09-29 0:00,15,600
509,Lunch Break ,2023-09-29 0:00,30,600
510,Morning Meeting,2023-09-29 0:00,15,600
511,Safety Updates,2023-09-29 0:00,525,600
