DowntimeID,Production_Date,Location,Downtime_Category,ProcessArea,Downtime,Downtime_Duration
34,2023-10-10 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,6
35,2023-10-10 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,36
36,2023-10-10 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,7
37,2023-10-10 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,15
38,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
39,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
40,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
41,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,7
42,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Startup,8
43,2023-10-12 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,30
44,2023-10-12 0:00,Plant A,Unplanned Downtime,Conveyors,Other 4 (add columns if needed),60
45,2023-10-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,17
46,2023-10-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,28
47,2023-10-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,3
48,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
49,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
50,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
51,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
52,2023-10-13 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
53,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Startup,7
54,2023-10-13 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,20
55,2023-10-13 0:00,Plant A,Unplanned Downtime,UnControllables,Short Staff,60
56,2023-10-13 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,4
57,2023-10-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,40
58,2023-10-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,9
59,2023-10-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,30
60,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
61,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
62,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
63,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,2
64,2023-10-16 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,6
65,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Startup,5
66,2023-10-16 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,8
67,2023-10-16 0:00,Plant A,Schedule Exception,UnControllables,Fires,10
68,2023-10-16 0:00,Plant A,Schedule Exception,UnControllables,Short Staff,80
69,2023-10-16 0:00,Plant A,Unplanned Downtime,Mills,Shaker Jam,43
70,2023-10-16 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,93
71,2023-10-16 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,9
72,2023-10-16 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,69
73,2023-10-16 0:00,Plant A,Unplanned Downtime,Conveyors,NFC 1 Jam,123
74,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
75,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
76,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
77,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
78,2023-10-17 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,20
79,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Startup,8
80,2023-10-17 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,40
81,2023-10-17 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,18
82,2023-10-17 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,33
83,2023-10-17 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,10
84,2023-10-17 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,6
85,2023-10-17 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,26
86,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
87,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
88,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
89,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
90,2023-10-18 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,20
91,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Startup,7
92,2023-10-18 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,15
93,2023-10-18 0:00,Plant A,Schedule Exception,UnControllables,Short Staff,120
94,2023-10-18 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,121
95,2023-10-18 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,44
96,2023-10-18 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,19
97,2023-10-18 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,3
98,2023-10-18 0:00,Plant A,Unplanned Downtime,Conveyors,NFC 1 Jam,46
99,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
100,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
101,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
102,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
103,2023-10-19 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
104,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Startup,5
105,2023-10-19 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,20
106,2023-10-19 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,47
107,2023-10-19 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,7
108,2023-10-19 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,69
109,2023-10-19 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,8
110,2023-10-19 0:00,Plant A,Unplanned Downtime,Conveyors,ECS 1 Jam ,82
111,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
112,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
113,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
114,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,22
115,2023-10-20 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
116,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Startup,10
117,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,20
118,2023-10-20 0:00,Plant A,Planned Downtime,Planned,Delay of planned maintenance,45
119,2023-10-20 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,68
120,2023-10-20 0:00,Plant A,Unplanned Downtime,Main Motor Engine,Electrical Misc,82
121,2023-10-23 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
122,2023-10-23 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
123,2023-10-23 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
124,2023-10-23 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
125,2023-10-23 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,25
126,2023-10-23 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,485
127,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
128,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
129,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
130,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,8
131,2023-10-24 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,25
132,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Startup,7
133,2023-10-24 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,25
134,2023-10-24 0:00,Plant A,Unplanned Downtime,Conveyors,Transfer Belt,40
135,2023-10-24 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,285
136,2023-10-24 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,3
137,2023-10-24 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,16
138,2023-10-24 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Belt,15
139,2023-10-25 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
140,2023-10-25 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
141,2023-10-25 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
142,2023-10-25 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,25
143,2023-10-25 0:00,Plant A,Planned Downtime,Planned,Startup,9
144,2023-10-25 0:00,Plant A,Schedule Exception,UnControllables,Fires,3
145,2023-10-25 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,10
146,2023-10-25 0:00,Plant A,Unplanned Downtime,Conveyors,Transfer Belt,10
147,2023-10-25 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,85
148,2023-10-25 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,10
149,2023-10-25 0:00,Plant A,Unplanned Downtime,Conveyors,Dirt 1 Jam,15
150,2023-10-25 0:00,Plant A,Unplanned Downtime,Conveyors,Primary Tail,84
151,2023-10-25 0:00,Plant A,Unplanned Downtime,Conveyors,NFC 1 Jam,30
152,2023-10-26 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
153,2023-10-26 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
154,2023-10-26 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
155,2023-10-26 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
156,2023-10-26 0:00,Plant A,Planned Downtime,Planned,Startup,10
157,2023-10-26 0:00,Plant A,Schedule Exception,UnControllables,Fires,5
158,2023-10-26 0:00,Plant A,Schedule Exception,UnControllables,Short Staff,60
159,2023-10-26 0:00,Plant A,Unplanned Downtime,Feedroll System,Infeed Hydraulics,11
160,2023-10-26 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,202
161,2023-10-26 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,40
162,2023-10-26 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,6
163,2023-10-26 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,75
164,2023-10-26 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,24
165,2023-10-26 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,5
166,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
167,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
168,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
169,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
170,2023-10-27 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
171,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Startup,9
172,2023-10-27 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,5
173,2023-10-27 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,34
174,2023-10-27 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,20
175,2023-10-27 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,11
176,2023-10-27 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,7
177,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
178,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
179,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
180,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,14
181,2023-10-28 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
182,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Startup,14
183,2023-10-28 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,10
184,2023-10-28 0:00,Plant A,Schedule Exception,UnControllables,Short Staff,20
185,2023-10-28 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,17
186,2023-10-28 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,8
187,2023-10-28 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,10
188,2023-10-28 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,5
189,2023-10-28 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,5
190,2023-10-28 0:00,Plant A,Unplanned Downtime,Conveyors,Dirt 1 Jam,53
191,2023-10-28 0:00,Plant A,Unplanned Downtime,Conveyors,NFC 1 Jam,52
192,2023-10-30 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
193,2023-10-30 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
194,2023-10-30 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
195,2023-10-30 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,20
196,2023-10-30 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,20
197,2023-10-30 0:00,Plant A,Planned Downtime,Planned,Startup,15
198,2023-10-30 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,12
199,2023-10-30 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,25
200,2023-10-30 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,5
201,2023-10-30 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,3
202,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
203,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
204,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
205,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,5
206,2023-10-31 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
207,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Safety Training,135
208,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Startup,6
209,2023-10-31 0:00,Plant A,Planned Downtime,Planned,Morning Meeting,20
210,2023-10-31 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,60
211,2023-10-31 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,26
212,2023-10-31 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,11
213,2023-10-31 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,5
214,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
215,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
216,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
217,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,15
218,2023-09-05 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
219,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Safety Training,15
220,2023-09-05 0:00,Plant A,Planned Downtime,Planned,Startup,10
221,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,30
222,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Belt,3
223,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,21
224,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,6
225,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Belt,3
226,2023-09-05 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Belt,4
227,2023-09-05 0:00,Plant A,Unplanned Downtime,Conveyors,Dirt 1 Jam,40
228,2023-09-05 0:00,Plant A,Unplanned Downtime,Conveyors,East Conveyor,40
229,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
230,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
231,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
232,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,8
233,2023-09-06 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
234,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Safety Training,15
235,2023-09-06 0:00,Plant A,Planned Downtime,Planned,Startup,7
236,2023-09-06 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Belt,27
237,2023-09-06 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,24
238,2023-09-06 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,31
239,2023-09-06 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,48
240,2023-09-06 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,10
241,2023-09-06 0:00,Plant A,Unplanned Downtime,Mills,Stacker Belt Jam,15
242,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
243,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
244,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
245,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,8
246,2023-09-07 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
247,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Safety Training,150
248,2023-09-07 0:00,Plant A,Planned Downtime,Planned,Startup,7
249,2023-09-07 0:00,Plant A,Unplanned Downtime,Feedroll System,Infeed Jam,60
250,2023-09-07 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,5
251,2023-09-07 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,42
252,2023-09-07 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,11
253,2023-09-07 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,6
254,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
255,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
256,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
257,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,10
258,2023-09-08 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,10
259,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Safety Training,15
260,2023-09-08 0:00,Plant A,Planned Downtime,Planned,Startup,10
261,2023-09-08 0:00,Plant A,Schedule Exception,UnControllables,Short Staff,55
262,2023-09-08 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,31
263,2023-09-08 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,71
264,2023-09-08 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,31
265,2023-09-08 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,9
266,2023-09-11 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
267,2023-09-11 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
268,2023-09-11 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
269,2023-09-11 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,5
270,2023-09-11 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
271,2023-09-11 0:00,Plant A,Planned Downtime,Planned,Startup,5
272,2023-09-11 0:00,Plant A,Unplanned Downtime,Excavator,Waiting on Excavator,10
273,2023-09-11 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,15
274,2023-09-11 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,70
275,2023-09-11 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,18
276,2023-09-11 0:00,Plant A,Unplanned Downtime,Conveyors,West Conveyor,7
277,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
278,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
279,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
280,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,6
281,2023-09-12 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
282,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Safety Training,260
283,2023-09-12 0:00,Plant A,Planned Downtime,Planned,Startup,6
284,2023-09-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,10
285,2023-09-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,4
286,2023-09-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,10
287,2023-09-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Electric,10
288,2023-09-12 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,4
289,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
290,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
291,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
292,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,7
293,2023-09-13 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,15
294,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Safety Training,60
295,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Startup,8
296,2023-09-13 0:00,Plant A,Planned Downtime,Planned,Delay of planned maintenance,55
297,2023-09-13 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,15
298,2023-09-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,52
299,2023-09-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,12
300,2023-09-13 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,32
301,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
302,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
303,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
304,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,26
305,2023-09-14 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,25
306,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Safety Training,20
307,2023-09-14 0:00,Plant A,Planned Downtime,Planned,Startup,7
308,2023-09-14 0:00,Plant A,Unplanned Downtime,Feedroll System,Infeed Jam,79
309,2023-09-14 0:00,Plant A,Unplanned Downtime,Feedroll System,Feed roll Tripped,5
310,2023-09-14 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,30
311,2023-09-14 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,7
312,2023-09-14 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,11
313,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
314,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Coffee Break #2 ,15
315,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Lunch Break ,30
316,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Pre-shift Inspection,20
317,2023-09-15 0:00,Plant A,Planned Downtime,Planned,5S / Routine Cleaning,30
318,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Safety Training,15
319,2023-09-15 0:00,Plant A,Planned Downtime,Planned,Startup,10
320,2023-09-15 0:00,Plant A,Schedule Exception,UnControllables,Fires,1
321,2023-09-15 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Jam,96
322,2023-09-15 0:00,Plant A,Unplanned Downtime,Magnet,Mag 1 Electric,2
323,2023-09-15 0:00,Plant A,Unplanned Downtime,Magnet,Mag 2 Jam,13
324,2023-09-15 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Jam,10
325,2023-09-15 0:00,Plant A,Unplanned Downtime,Magnet,Mag 3 Electric,38
326,2023-09-18 0:00,Plant A,Planned Downtime,Planned,Coffee Break #1 ,15
